unique_id,ds,Open,High,Low,Close,Avg,Diff
QQQ,2024-04-17 08:35:00,308.0023,308.3075,307.9137,308.1204,308.085975,0.23720000000002983
QQQ,2024-04-17 08:40:00,308.0515,308.4945,307.963,308.3665,308.218875,0.13290000000000646
QQQ,2024-04-17 08:45:00,308.3862,308.6441,308.2189,308.4059,308.413775,0.19489999999996144
QQQ,2024-04-17 08:50:00,308.4157,308.4846,308.0073,308.3173,308.306225,-0.10755000000000337
QQQ,2024-04-17 08:55:00,308.337,308.5929,307.4118,307.6874,308.007275,-0.2989499999999907
QQQ,2024-04-17 09:00:00,307.6874,308.15,307.6037,308.0418,307.870725,-0.13654999999999973
QQQ,2024-04-17 09:05:00,308.0712,308.4256,307.9925,308.15,308.15982499999996,0.28909999999996217
QQQ,2024-04-17 09:10:00,308.1598,308.5732,308.0515,308.5535,308.3345,0.1746750000000361
QQQ,2024-04-17 09:15:00,308.5584,308.77,308.2041,308.5437,308.51905,0.18455000000000155
QQQ,2024-04-17 09:20:00,308.5437,309.4098,308.524,309.2031,308.92015000000004,0.4011000000000422
QQQ,2024-04-17 09:25:00,309.1933,309.6067,308.9866,309.4689,309.313875,0.3937249999999608
QQQ,2024-04-17 09:30:00,304.1637,305.2563,303.4551,304.9526,304.456925,-4.8569499999999834
QQQ,2024-04-17 09:35:00,304.961,305.1775,303.3074,304.3901,304.459,0.002074999999990723
QQQ,2024-04-17 09:40:00,304.3803,304.7445,302.9039,302.9925,303.75530000000003,-0.7036999999999694
QQQ,2024-04-17 09:45:00,303.0023,303.9374,302.6578,303.77,303.341875,-0.4134250000000179
QQQ,2024-04-17 09:50:00,303.7996,304.1047,303.0337,303.7897,303.681925,0.34004999999996244
QQQ,2024-04-17 09:55:00,303.8676,304.9019,303.77,304.7051,304.31115,0.6292250000000195
QQQ,2024-04-17 10:00:00,304.6952,305.5811,304.2031,304.5181,304.749375,0.43822499999998854
QQQ,2024-04-17 10:05:00,304.5111,305.1674,303.6913,304.39,304.43994999999995,-0.3094250000000329
QQQ,2024-04-17 10:10:00,304.3606,304.5771,303.2976,304.0161,304.06284999999997,-0.37709999999998445
QQQ,2024-04-17 10:15:00,304.0456,304.646,303.6913,303.9866,304.092375,0.029525000000035106
QQQ,2024-04-17 10:20:00,303.9866,304.4295,303.15,303.7405,303.82665,-0.26572500000003174
QQQ,2024-04-17 10:25:00,303.711,303.8586,303.0023,303.3567,303.48215,-0.34449999999998226
QQQ,2024-04-17 10:30:00,303.3763,303.4551,302.6972,303.1992,303.18195000000003,-0.30019999999996116
QQQ,2024-04-17 10:35:00,303.1893,303.2878,301.7769,301.9626,302.55415000000005,-0.6277999999999793
QQQ,2024-04-17 10:40:00,301.9885,302.3232,301.6834,302.3232,302.079575,-0.4745750000000726
QQQ,2024-04-17 10:45:00,302.333,302.7366,302.0181,302.4697,302.38935000000004,0.30977500000005875
QQQ,2024-04-17 10:50:00,302.4807,302.5594,301.8901,301.9492,302.21985,-0.16950000000002774
QQQ,2024-04-17 10:55:00,301.959,302.2592,301.5951,301.6637,301.86925,-0.3505999999999858
QQQ,2024-04-17 11:00:00,301.6588,301.7917,300.9059,301.1224,301.36969999999997,-0.4995500000000561
QQQ,2024-04-17 11:05:00,301.1421,301.1815,300.7878,300.8763,300.99692500000003,-0.37277499999993324
QQQ,2024-04-17 11:10:00,300.9256,300.9551,300.207,300.4433,300.63275,-0.36417500000004566
QQQ,2024-04-17 11:15:00,300.4433,300.8567,300.3006,300.6598,300.56510000000003,-0.0676499999999578
QQQ,2024-04-17 11:20:00,300.6507,300.8567,300.3842,300.4433,300.58372499999996,0.01862499999992906
QQQ,2024-04-17 11:25:00,300.4531,300.6992,300.1185,300.5712,300.4605,-0.12322499999993397
QQQ,2024-04-17 11:30:00,300.6106,301.211,300.4531,301.1126,300.84682499999997,0.3863249999999425
QQQ,2024-04-17 11:35:00,301.1126,301.8212,301.0141,301.4669,301.3537,0.5068750000000364
QQQ,2024-04-17 11:40:00,301.4472,301.5456,301.0535,301.2799,301.33155,-0.02215000000001055
QQQ,2024-04-17 11:45:00,301.2602,301.3882,300.7976,300.8911,301.084275,-0.2472750000000019
QQQ,2024-04-17 11:50:00,300.8862,301.1322,300.6106,300.8222,300.8628,-0.2214749999999981
QQQ,2024-04-17 11:55:00,300.837,301.2996,300.7484,301.1913,301.019075,0.15627499999999372
QQQ,2024-04-17 12:00:00,301.1027,301.9787,301.0929,301.8015,301.49395,0.47487499999999727
QQQ,2024-04-17 12:05:00,301.8114,301.9689,301.1027,301.2208,301.52595,0.03200000000003911
